Batter,Runs,Balls,Innings,Dismissals,Average,StrikeRate
V Kohli,8014,6069,244,207.0,38.71,132.05
S Dhawan,6769,5326,221,193.0,35.07,127.09
RG Sharma,6630,5057,251,223.0,29.73,131.11
DA Warner,6567,4702,184,164.0,40.04,139.66
SK Raina,5536,4046,200,171.0,32.37,136.83
MS Dhoni,5243,3812,228,134.0,39.13,137.54
AB de Villiers,5181,3411,170,130.0,39.85,151.89
CH Gayle,4997,3346,141,126.0,39.66,149.34
RV Uthappa,4954,3801,197,180.0,27.52,130.33
KD Karthik,4843,3580,233,184.0,26.32,135.28
KL Rahul,4689,3485,122,105.0,44.66,134.55
AM Rahane,4642,3761,171,154.0,30.14,123.42
F du Plessis,4571,3352,138,127.0,35.99,136.37
SV Samson,4419,3180,162,144.0,30.69,138.96
AT Rayudu,4348,3409,185,155.0,28.05,127.54
G Gambhir,4217,3404,151,136.0,31.01,123.88
SR Watson,3880,2813,141,126.0,30.79,137.93
MK Pandey,3859,3183,158,133.0,29.02,121.24
SA Yadav,3594,2474,135,113.0,31.81,145.27
JC Buttler,3583,2430,106,95.0,37.72,147.45
KA Pollard,3437,2329,168,121.0,28.4,147.57
RR Pant,3297,2215,110,93.0,35.45,148.85
YK Pathan,3222,2245,153,110.0,29.29,143.52
Shubman Gill,3216,2370,99,85.0,37.84,135.7
Q de Kock,3160,2355,107,102.0,30.98,134.18
SS Iyer,3131,2455,114,98.0,31.95,127.54
RA Jadeja,2959,2280,180,108.0,27.4,129.78
WP Saha,2934,2300,143,121.0,24.25,127.57
DA Miller,2924,2101,123,82.0,35.66,139.17
BB McCullum,2882,2190,109,104.0,27.71,131.6
PA Patel,2848,2358,136,126.0,22.6,120.78
GJ Maxwell,2772,1769,128,112.0,24.75,156.7
Yuvraj Singh,2754,2122,126,111.0,24.81,129.78
V Sehwag,2728,1755,104,99.0,27.56,155.44
MA Agarwal,2669,2002,121,117.0,22.81,133.32
Ishan Kishan,2644,1946,99,93.0,28.43,135.87
N Rana,2636,1952,101,93.0,28.34,135.04
M Vijay,2619,2150,105,101.0,25.93,121.81
HH Pandya,2534,1739,128,89.0,28.47,145.72
SPD Smith,2495,1945,93,72.0,34.65,128.28
SE Marsh,2489,1871,69,63.0,39.51,133.03
AD Russell,2488,1423,104,86.0,28.93,174.84
JH Kallis,2427,2222,95,85.0,28.55,109.23
DR Smith,2385,1764,88,84.0,28.39,135.2
RD Gaikwad,2380,1739,65,57.0,41.75,136.86
SR Tendulkar,2334,1948,78,69.0,33.83,119.82
RA Tripathi,2236,1605,93,83.0,26.94,139.31
R Dravid,2174,1882,82,77.0,28.23,115.52
KS Williamson,2132,1697,76,60.0,35.53,125.63
AJ Finch,2092,1635,90,84.0,24.9,127.95
